0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
212,300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,247.5208,B58 B60,C
213,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234,7.75,,Q
214,304,1,2,"Keane, Miss. Nora A",female,,0,0,226593,12.35,E101,Q
215,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
216,306,1,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S
217,308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,108.9,C65,C
218,311,1,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,83.1583,C54,C
219,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,250651,26,,S
220,314,0,3,"Hendekovic, Mr. Ignjac",male,28,0,0,349243,7.8958,,S
221,315,0,2,"Hart, Mr. Benjamin",male,43,1,1,F.C.C. 13529,26.25,,S
222,316,1,3,"Nilsson, Miss. Helmina Josefina",female,26,0,0,347470,7.8542,,S
223,318,0,2,"Moraweck, Dr. Ernest",male,54,0,0,29011,14,,S
224,319,1,1,"Wick, Miss. Mary Natalie",female,31,0,2,36928,164.8667,C7,S
225,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,134.5,E34,C
226,321,0,3,"Dennis, Mr. Samuel",male,22,0,0,A/5 21172,7.25,,S
227,322,0,3,"Danoff, Mr. Yoto",male,27,0,0,349219,7.8958,,S
228,323,1,2,"Slayter, Miss. Hilda Mary",female,30,0,0,234818,12.35,,Q
229,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1,248738,29,,S
230,326,1,1,"Young, Miss. Marie Grice",female,36,0,0,PC 17760,135.6333,C32,C
231,327,0,3,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,,S
232,328,1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,13,D,S
233,330,1,1,"Hippach, Miss. Jean Gertrude",female,16,0,1,111361,57.9792,B18,C
234,331,1,3,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,,Q
235,332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
236,333,0,1,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,S
237,334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S
238,337,0,1,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S
239,338,1,1,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,134.5,E40,C
240,339,1,3,"Dahl, Mr. Karl Edwart",male,45,0,0,7598,8.05,,S
241,340,0,1,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S
242,341,1,2,"Navratil, Master. Edmond Roger",male,2,1,1,230080,26,F2,S
243,343,0,2,"Collander, Mr. Erik Gustaf",male,28,0,0,248740,13,,S
244,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,244361,13,,S
245,345,0,2,"Fox, Mr. Stanley Hubert",male,36,0,0,229236,13,,S
246,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S
247,349,1,3,"Coutts, Master. William Loch ""William""",male,3,1,1,C.A. 37671,15.9,,S
248,350,0,3,"Dimic, Mr. Jovan",male,42,0,0,315088,8.6625,,S
249,351,0,3,"Odahl, Mr. Nils Martin",male,23,0,0,7267,9.225,,S
250,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S
251,354,0,3,"Arnold-Franchi, Mr. Josef",male,25,1,0,349237,17.8,,S
252,358,0,2,"Funk, Miss. Annie Clemmer",female,38,0,0,237671,13,,S
253,359,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q
254,361,0,3,"Skoog, Mr. Wilhelm",male,40,1,4,347088,27.9,,S
255,362,0,2,"del Carlo, Mr. Sebastiano",male,29,1,0,SC/PARIS 2167,27.7208,,C
256,363,0,3,"Barbara, Mrs. (Catherine David)",female,45,0,1,2691,14.4542,,C
257,365,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q
258,366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,C 7076,7.25,,S
259,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,110813,75.25,D37,C
260,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C
261,369,1,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,,Q
262,370,1,1,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,69.3,B35,C
263,371,1,1,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,C
264,372,0,3,"Wiklund, Mr. Jakob Alfred",male,18,1,0,3101267,6.4958,,S
265,374,0,1,"Ringhini, Mr. Sante",male,22,0,0,PC 17760,135.6333,,C
266,375,0,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S
267,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,C
268,377,1,3,"Landergren, Miss. Aurora Adelia",female,22,0,0,C 7077,7.25,,S
269,378,0,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C82,C
270,379,0,3,"Betros, Mr. Tannous",male,20,0,0,2648,4.0125,,C
271,380,0,3,"Gustafsson, Mr. Karl Gideon",male,19,0,0,347069,7.775,,S
272,381,1,1,"Bidois, Miss. Rosalie",female,42,0,0,PC 17757,227.525,,C
273,382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,,C
274,383,0,3,"Tikkanen, Mr. Juho",male,32,0,0,STON/O 2. 3101293,7.925,,S
275,384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,113789,52,,S
276,385,0,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S
277,386,0,2,"Davies, Mr. Charles Henry",male,18,0,0,S.O.C. 14879,73.5,,S
278,387,0,3,"Goodwin, Master. Sidney Leonard",male,1,5,2,CA 2144,46.9,,S
279,388,1,2,"Buss, Miss. Kate",female,36,0,0,27849,13,,S
280,389,0,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q
281,390,1,2,"Lehmann, Miss. Bertha",female,17,0,0,SC 1748,12,,C
282,393,0,3,"Gustafsson, Mr. Johan Birger",male,28,2,0,3101277,7.925,,S
283,394,1,1,"Newell, Miss. Marjorie",female,23,1,0,35273,113.275,D36,C
284,395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,16.7,G6,S
285,396,0,3,"Johansson, Mr. Erik",male,22,0,0,350052,7.7958,,S
286,398,0,2,"McKane, Mr. Peter David",male,46,0,0,28403,26,,S
287,399,0,2,"Pain, Dr. Alfred",male,23,0,0,244278,10.5,,S
288,401,1,3,"Niskanen, Mr. Juha",male,39,0,0,STON/O 2. 3101289,7.925,,S
289,402,0,3,"Adams, Mr. John",male,26,0,0,341826,8.05,,S
290,403,0,3,"Jussila, Miss. Mari Aina",female,21,1,0,4137,9.825,,S
291,404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0,STON/O2. 3101279,15.85,,S
292,405,0,3,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S
293,406,0,2,"Gale, Mr. Shadrach",male,34,1,0,28664,21,,S
294,407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,347064,7.75,,S
295,410,0,3,"Lefebre, Miss. Ida",female,,3,1,4133,25.4667,,S
296,412,0,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q
297,413,1,1,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,Q
298,415,1,3,"Sundman, Mr. Johan Julian",male,44,0,0,STON/O 2. 3101269,7.925,,S
299,416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,S
300,419,0,2,"Matthews, Mr. William John",male,30,0,0,28228,13,,S
301,420,0,3,"Van Impe, Miss. Catharina",female,10,0,2,345773,24.15,,S
302,421,0,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C
303,425,0,3,"Rosblom, Mr. Viktor Richard",male,18,1,1,370129,20.2125,,S
304,427,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0,2003,26,,S
305,428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19,0,0,250655,26,,S
306,430,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S
307,431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,110564,26.55,C52,S
308,432,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S
309,436,1,1,"Carter, Miss. Lucile Polk",female,14,1,2,113760,120,B96 B98,S
310,437,0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2,W./C. 6608,34.375,,S
311,438,1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,3,29106,18.75,,S
312,439,0,1,"Fortune, Mr. Mark",male,64,1,4,19950,263,C23 C25 C27,S
313,440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,0,C.A. 18723,10.5,,S
314,442,0,3,"Hampe, Mr. Leon",male,20,0,0,345769,9.5,,S
315,443,0,3,"Petterson, Mr. Johan Emil",male,25,1,0,347076,7.775,,S
316,444,1,2,"Reynaldo, Ms. Encarnacion",female,28,0,0,230434,13,,S
317,445,1,3,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,65306,8.1125,,S
318,447,1,2,"Mellinger, Miss. Madeleine Violet",female,13,0,1,250644,19.5,,S
319,448,1,1,"Seward, Mr. Frederic Kimber",male,34,0,0,113794,26.55,,S
320,449,1,3,"Baclini, Miss. Marie Catherine",female,5,2,1,2666,19.2583,,C
321,451,0,2,"West, Mr. Edwy Arthur",male,36,1,2,C.A. 34651,27.75,,S
322,452,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,65303,19.9667,,S
323,454,1,1,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C
324,455,0,3,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S
325,456,1,3,"Jalsevac, Mr. Ivan",male,29,0,0,349240,7.8958,,C
326,457,0,1,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,S
327,458,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,17464,51.8625,D21,S
328,462,0,3,"Morley, Mr. William",male,34,0,0,364506,8.05,,S
329,464,0,2,"Milling, Mr. Jacob Christian",male,48,0,0,234360,13,,S
330,466,0,3,"Goncalves, Mr. Manuel Estanslas",male,38,0,0,SOTON/O.Q. 3101306,7.05,,S
331,467,0,2,"Campbell, Mr. William",male,,0,0,239853,0,,S
332,468,0,1,"Smart, Mr. John Montgomery",male,56,0,0,113792,26.55,,S
333,469,0,3,"Scanlan, Mr. James",male,,0,0,36209,7.725,,Q
334,472,0,3,"Cacic, Mr. Luka",male,38,0,0,315089,8.6625,,S
335,473,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33,1,2,C.A. 34651,27.75,,S
336,474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,0,SC/AH Basle 541,13.7917,D,C
337,475,0,3,"Strandberg, Miss. Ida Sofia",female,22,0,0,7553,9.8375,,S
338,476,0,1,"Clifford, Mr. George Quincy",male,,0,0,110465,52,A14,S
339,477,0,2,"Renouf, Mr. Peter Henry",male,34,1,0,31027,21,,S
340,478,0,3,"Braund, Mr. Lewis Richard",male,29,1,0,3460,7.0458,,S
341,479,0,3,"Karlsson, Mr. Nils August",male,22,0,0,350060,7.5208,,S
342,485,1,1,"Bishop, Mr. Dickinson H",male,25,1,0,11967,91.0792,B49,C
343,486,0,3,"Lefebre, Miss. Jeannie",female,,3,1,4133,25.4667,,S
344,487,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,0,19943,90,C93,S
345,488,0,1,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,C
346,489,0,3,"Somerton, Mr. Francis William",male,30,0,0,A.5. 18509,8.05,,S
347,491,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,65304,19.9667,,S
348,492,0,3,"Windelov, Mr. Einar",male,21,0,0,SOTON/OQ 3101317,7.25,,S
349,493,0,1,"Molson, Mr. Harry Markland",male,55,0,0,113787,30.5,C30,S
350,494,0,1,"Artagaveytia, Mr. Ramon",male,71,0,0,PC 17609,49.5042,,C
351,496,0,3,"Yousseff, Mr. Gerious",male,,0,0,2627,14.4583,,C
352,497,1,1,"Eustis, Miss. Elizabeth Mussey",female,54,1,0,36947,78.2667,D20,C
353,498,0,3,"Shellard, Mr. Frederick William",male,,0,0,C.A. 6212,15.1,,S
354,500,0,3,"Svensson, Mr. Olof",male,24,0,0,350035,7.7958,,S
355,501,0,3,"Calic, Mr. Petar",male,17,0,0,315086,8.6625,,S
356,502,0,3,"Canavan, Miss. Mary",female,21,0,0,364846,7.75,,Q
357,503,0,3,"O'Sullivan, Miss. Bridget Mary",female,,0,0,330909,7.6292,,Q
358,504,0,3,"Laitinen, Miss. Kristina Sofia",female,37,0,0,4135,9.5875,,S
359,505,1,1,"Maioni, Miss. Roberta",female,16,0,0,110152,86.5,B79,S
360,507,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33,0,2,26360,26,,S
361,508,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S
362,509,0,3,"Olsen, Mr. Henry Margido",male,28,0,0,C 4001,22.525,,S
363,510,1,3,"Lang, Mr. Fang",male,26,0,0,1601,56.4958,,S
364,511,1,3,"Daly, Mr. Eugene Patrick",male,29,0,0,382651,7.75,,Q
365,514,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54,1,0,PC 17603,59.4,,C
366,515,0,3,"Coleff, Mr. Satio",male,24,0,0,349209,7.4958,,S
367,517,1,2,"Lemore, Mrs. (Amelia Milley)",female,34,0,0,C.A. 34260,10.5,F33,S
368,518,0,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q
369,519,1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36,1,0,226875,26,,S
370,520,0,3,"Pavlovic, Mr. Stefo",male,32,0,0,349242,7.8958,,S
371,521,1,1,"Perreault, Miss. Anne",female,30,0,0,12749,93.5,B73,S
372,522,0,3,"Vovk, Mr. Janko",male,22,0,0,349252,7.8958,,S
373,525,0,3,"Kassem, Mr. Fared",male,,0,0,2700,7.2292,,C
374,526,0,3,"Farrell, Mr. James",male,40.5,0,0,367232,7.75,,Q
375,527,1,2,"Ridsdale, Miss. Lucy",female,50,0,0,W./C. 14258,10.5,,S
376,528,0,1,"Farthing, Mr. John",male,,0,0,PC 17483,221.7792,C95,S
377,529,0,3,"Salonen, Mr. Johan Werner",male,39,0,0,3101296,7.925,,S
378,530,0,2,"Hocking, Mr. Richard George",male,23,2,1,29104,11.5,,S
379,532,0,3,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C
380,533,0,3,"Elias, Mr. Joseph Jr",male,17,1,1,2690,7.2292,,C
381,535,0,3,"Cacic, Miss. Marija",female,30,0,0,315084,8.6625,,S
382,537,0,1,"Butt, Major. Archibald Willingham",male,45,0,0,113050,26.55,B38,S
383,538,1,1,"LeRoy, Miss. Bertha",female,30,0,0,PC 17761,106.425,,C
384,540,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,13568,49.5,B39,C
385,541,1,1,"Crosby, Miss. Harriet R",female,36,0,2,WE/P 5735,71,B22,S
386,542,0,3,"Andersson, Miss. Ingeborg Constanzia",female,9,4,2,347082,31.275,,S
387,543,0,3,"Andersson, Miss. Sigrid Elisabeth",female,11,4,2,347082,31.275,,S
388,544,1,2,"Beane, Mr. Edward",male,32,1,0,2908,26,,S
389,546,0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,,S
390,547,1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19,1,0,2908,26,,S
391,548,1,2,"Padro y Manent, Mr. Julian",male,,0,0,SC/PARIS 2146,13.8625,,C
392,549,0,3,"Goldsmith, Mr. Frank John",male,33,1,1,363291,20.525,,S
393,550,1,2,"Davies, Master. John Morgan Jr",male,8,1,1,C.A. 33112,36.75,,S
394,551,1,1,"Thayer, Mr. John Borland Jr",male,17,0,2,17421,110.8833,C70,C
395,552,0,2,"Sharp, Mr. Percival James R",male,27,0,0,244358,26,,S
396,554,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22,0,0,2620,7.225,,C
397,556,0,1,"Wright, Mr. George",male,62,0,0,113807,26.55,,S
398,558,0,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C
399,559,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39,1,1,110413,79.65,E67,S
400,560,1,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,0,345572,17.4,,S
401,561,0,3,"Morrow, Mr. Thomas Rowan",male,,0,0,372622,7.75,,Q
402,562,0,3,"Sivic, Mr. Husein",male,40,0,0,349251,7.8958,,S
403,565,0,3,"Meanwell, Miss. (Marion Ogden)",female,,0,0,SOTON/O.Q. 392087,8.05,,S
404,566,0,3,"Davies, Mr. Alfred J",male,24,2,0,A/4 48871,24.15,,S
405,568,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,,S
406,569,0,3,"Doharr, Mr. Tannous",male,,0,0,2686,7.2292,,C
407,570,1,3,"Jonsson, Mr. Carl",male,32,0,0,350417,7.8542,,S
408,573,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,0,PC 17474,26.3875,E25,S
409,576,0,3,"Patchett, Mr. George",male,19,0,0,358585,14.5,,S
410,577,1,2,"Garside, Miss. Ethel",female,34,0,0,243880,13,,S
411,578,1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39,1,0,13507,55.9,E44,S
412,579,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,,1,0,2689,14.4583,,C
413,580,1,3,"Jussila, Mr. Eiriik",male,32,0,0,STON/O 2. 3101286,7.925,,S
414,581,1,2,"Christy, Miss. Julie Rachel",female,25,1,1,237789,30,,S
415,585,0,3,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C
416,587,0,2,"Jarvis, Mr. John Denzil",male,47,0,0,237565,15,,S
417,588,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,13567,79.2,B41,C
418,589,0,3,"Gilinski, Mr. Eliezer",male,22,0,0,14973,8.05,,S
419,590,0,3,"Murdlin, Mr. Joseph",male,,0,0,A./5. 3235,8.05,,S
420,592,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52,1,0,36947,78.2667,D20,C
